nameWithOwner,url,stars,createdAt,updatedAt,age_days,since_update_days,primary_language,merged_prs,releases,open_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,471579,2018-05-09T12:03:18Z,2026-03-03T13:48:10Z,2855,0,Markdown,155,0,233,653,0.7370203160270881
sindresorhus/awesome,https://github.com/sindresorhus/awesome,442123,2014-07-11T13:42:37Z,2026-03-03T13:43:13Z,4253,0,,694,0,17,348,0.9534246575342465
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437697,2014-12-24T17:49:19Z,2026-03-03T13:47:57Z,4086,0,TypeScript,27732,0,185,20961,0.9912513004823608
public-apis/public-apis,https://github.com/public-apis/public-apis,403239,2016-03-20T23:49:42Z,2026-03-03T13:46:06Z,3634,0,Python,1872,0,3,832,0.9964071856287425
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,383514,2013-10-11T06:50:37Z,2026-03-03T13:46:43Z,4526,0,Python,7328,0,35,1227,0.9722662440570523
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,350052,2017-03-15T13:45:52Z,2026-03-03T13:41:57Z,3275,0,TypeScript,4065,1,30,3052,0.9902660609993511
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,337539,2016-06-06T02:34:12Z,2026-03-03T13:41:48Z,3557,0,,415,0,71,454,0.8647619047619047
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,337156,2017-02-26T16:15:28Z,2026-03-03T13:47:10Z,3291,0,Python,203,0,248,110,0.30726256983240224
vinta/awesome-python,https://github.com/vinta/awesome-python,285341,2014-06-27T21:00:06Z,2026-03-03T13:44:24Z,4266,0,Python,639,0,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,276268,2015-06-01T02:33:17Z,2026-03-03T13:45:52Z,3928,0,,2395,1,0,807,1.0
996icu/996.ICU,https://github.com/996icu/996.ICU,275609,2019-03-26T07:31:14Z,2026-03-03T13:03:59Z,2534,0,,1072,0,0,0,
